Always,Sempre
"After number of attempts to login","Dopo un numero di tentativi di login"
"Incorrect CAPTCHA","CAPTCHA non corretto"
"Incorrect CAPTCHA.","CAPTCHA non corretto."
"Please enter the letters from the image:","Inserisci le lettere dell'immagine:"
"Reload captcha","Reload captcha"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attenzione</strong>: il Captcha è case sensitive."
"Please type the letters below","Inserisci le lettere sotto"
CAPTCHA,CAPTCHA
"Enable CAPTCHA in Admin","Attiva CAPTCHA in Amministrazione"
Font,Font
Forms,Forms
"Displaying Mode","Modalità di Visualizzazione"
"Number of Unsuccessful Attempts to Login","Numero di tentativi falliti al Login"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se è inserito il valore 0, il CAPTCHA nel form di Login sarà sempre visibile."
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minuti)"
"Number of Symbols","Numero di Caratteri"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Specifica 8 caratteri. Intervallo permesso (es. 3-5)"
"Symbols Used in CAPTCHA","Caratteri Usati nel CAPTCHA"
"
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    ","
                        Inserisci solo lettere (a-z o A-Z) o numeri (0-9) in questo campo. Non sono permessi Spazi o altri caratteri.<br />Caratteri visivamente simili (es. ""i"", ""l"", ""1"") diminuiscono le possibilità che il cliente possa riconoscerle.
                    "
"Case Sensitive","Case Sensitive"
"Enable CAPTCHA on Frontend","Attiva CAPTCHA nel Frontend"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA per i form ""Creazione Utente"" e ""Password Dimenticata"" sarà sempre attivo se impostato."
