"All","Tutto"
"Custom","Personalizzato"
"Back","Indietro"
"ID","ID"
"Reset","Reset"
"Account Information","Informazioni account"
"User Name","Nome utente"
"First Name","Nome"
"Last Name","Cognome"
"Email","Email"
"User Email","Email utente"
"New Password","Nuova password"
"Password Confirmation","Conferma password"
"Interface Locale","Interfaccia locale"
"Status","Status"
"Are you sure you want to do this?","Sei sicuro di volerlo fare?"
"System","Sistema"
"Access denied.","Accesso negato."
"Log into Magento Admin Page","Accedi alla pagina di amministrazione di Magento."
"Magento Admin Panel","Pannello di amministrazione di Magento."
"Active","Attivo"
"Role","Ruolo"
"Inactive","Inattivo"
"Password","Password"
"Reset Password","Reset Password"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Se è presente un account associato con %1 riceverai un\'email per con un link per il reset della password."
"Your password reset link has expired.","Il link per il reset della password è scaduto."
"Your password has been updated.","La tua password è stata aggiornata."
"The first name cannot be empty.","Il nome non può essere vuoto."
"The last name cannot be empty.","Il cognome non può essere vuoto."
"Please correct this email address: ""%1"".","Correggere questo indirizzo email: ""%1""."
"Back to Login","Torna ad Accedi"
"Confirm New Password","Conferma nuova password"
"Reset a Password","Resetta una password"
"Email Address:","Indirizzo email."
"Delete Role","Elimina ruolo"
"Save Role","Salva ruolo"
"Roles","Ruoli"
"Add New Role","Aggiungi nuovo ruolo"
"Role Information","Informazioni ruolo"
"Role Users","Ruolo utenti"
"User ID","User ID"
"Role Resources","Risorse ruolo"
"Role Info","Informazioni ruolo"
"Role Name","Nome ruolo"
"Add New User","Aggiungi nuovo utente"
"Users","Utenti"
"Save User","Salva utente"
"Delete User","Elimina utente"
"Edit User '%1'","Modifica utente '%1'"
"New User","Nuovo utente"
"This account is","Questo account è"
"Account Status","Stato account"
"User Roles Information","Informazioni ruoli utente"
"Assigned","Assegnato"
"User Information","Informazioni utente"
"User Info","Informazioni utente"
"User Role","Ruolo utente"
"Please correct this email address:","Correggere questo indirizzo email:"
"The email address is empty.","Questo indirizzo email è vuoto:"
"Please correct the password reset token.","Correggere il token di reset della password."
"Please specify the correct account and try again.","Specificare l\'account corretto e riprovare."
"Permissions","Permessi"
"This user no longer exists.","Questo utente non esiste più."
"Edit User","Modifica utente"
"You saved the user.","Utente salvato."
"You cannot delete your own account.","Non puoi eliminare il tuo account."
"You deleted the user.","Utente eliminato."
"We can't find a user to delete.","Impossibile trovare l'utente da eliminare."
"Edit Role","Modifica ruolo"
"New Role","Nuovo ruolo"
"You cannot delete self-assigned roles.","Non puoi eliminare i ruoli auto-assegnati."
"You deleted the role.","Ruolo eliminato"
"An error occurred while deleting this role.","Si è verificato un errore durante l\'eliminazione di questo ruolo."
"This role no longer exists.","Questo ruolo non esiste più."
"You saved the role.","Ruolo salvato."
"An error occurred while saving this role.","Si è verificato un errore durante il salvataggio di questo ruolo."
"A user with the same user name or email already exists.","Esiste già un utente con lo stesso nome utente o indirizzo email."
"User Name is a required field.","Nome utente è un campo obbligatorio."
"First Name is a required field.","Nome è un campo obbligatorio."
"Last Name is a required field.","Cognome è un campo obbligatorio."
"Please enter a valid email.","Inserire un indirizzo email."
"The user name cannot be empty.","Il nome utente non può esser vuoto."
"Password is required field.","Password è un campo obbligatorio."
"Your password must be at least %1 characters.","La tua password deve essere di almeno %1 caratteri."
"Your password must include both numeric and alphabetic characters.","La tua password deve contenere sia caratteri numerici che alfabetici."
"Your password confirmation must match your password.","La conferma password deve coincidere con la password."
"This account is inactive.","Questo account non è attivo"
"Forgot your user name or password?","Hai dimenticato il nome utente o la password?"
"Retrieve Password","Recupera la password"
"Forgot your password?","Password dimenticata?"
"Roles Resources","Risorse ruoli"
"Resource Access","Accessi risorsa"
"Resources","Risorse"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Attenzione!\r\nQuesta azione rimuoverà questo utente dal ruolo assegnato\r\nSei sicuro?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Attenzione!\r\nQuesta azione rimuoverà questi utenti dai ruoli a loro assegnati\r\nSei sicuro?"
"Reset Password Template","Template reset password"
