"No","No"
"Discount","Sconto"
"Credit Card Type","Tipo carta di credito"
"Credit Card Number","Numero carta di credito"
"Expiration Date","Data di scadenza"
"Card Verification Number","Numero di verifica della carta"
"--Please Select--","--Selezionare--"
"Card Verification Number Visual Reference","Numero di verifica della carta riferimento visivo"
"What is this?","Che cosa è questo?"
"Shipping","Spedizione"
"Yes","Sì"
"N/A","N/D"
"Month","Mese"
"Year","Anno"
"Start Date","Data inizio"
"We cannot retrieve the payment method model object.","Non è possibile richiamare l\'oggetto del modello del metodo di pagamento."
"We cannot retrieve the payment info model object.","Non è possibile richiamare l\'oggetto del modello delle informazioni di pagamento."
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Numero di rilascio"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Data inizio"
"All Allowed Countries","Tutti i paesi consentiti"
"Specific Countries","Paesi specifici"
"The payment method you requested is not available.","Il metodo di pagamento da te richiesto non è disponibile."
"The payment disallows storing objects.","Il pagamento non permette di memorizzare oggetti."
"We cannot retrieve the payment method code.","Impossibile richiamare il codice del metodo di pagamento."
"We cannot retrieve the payment information object instance.","Impossibile richiamare l\'istanza dell\'oggetto delle informazioni di pagamento"
"You can't use the payment type you selected to make payments to the billing country.","Non puoi usare il tipo di pagamento selezionato per fare pagamenti per il paese di fatturazione."
"The order action is not available.","Azione ordine non disponibile."
"The authorize action is not available.","Azione autorizzazione non disponibile."
"The capture action is not available.","Azione cattura non disponibile"
"The refund action is not available.","Azione rimborso non disponibile."
"Void action is not available.","Azione annulla non disponibile."
"The payment review action is unavailable.","Azione rivedi pagamento non disponibile."
"Credit card number mismatch with credit card type.","Il numero della carta di credito non combacia con il tipo di carta."
"Invalid Credit Card Number","Numero carta di credito non valido"
"Credit card type is not allowed for this payment method.","Tipo carta di credito non consentito per questo metodo di pagamento."
"Please enter a valid credit card verification number.","Inserire un numero di verifica della carta di credito valido."
"We found an incorrect credit card expiration date.","È stata riscontrata una data di scadenza non coerente."
"Switch/Solo/Maestro Only","Solo Switch/Solo/Maestro"
"Issue Number","Numero di rilascio"
"%1 is not available. You still can process offline actions.","%1 non disponibile. È sempre possibile elaborare azioni offline."
"Payment Methods","Metodi di pagamento"
