"Product","Prodotto"
"Price","Prezzo"
"Qty","Qtà"
"Subtotal","Subtotale"
"Total","Totale"
"Incl. Tax","Tasse incluse"
"Total incl. tax","Tasse escluse"
"Remove item","Rimuovi articolo"
"Items","Articoli"
"Change","Modifica"
"Product Name","Nome prodotto"
"Billing Information","Informazioni di fatturazione"
"Shipping Information","Informazioni di spedizione"
"Shipping Method","Metodo di spedizione"
"Continue Shopping","Continua lo shopping"
"Billing Address","Indirizzo di fatturazione"
"Payment Method","Metodo di pagamento"
"Place Order","Effettua l\'ordine"
"Sorry, no quotes are available for this order at this time.","Ci dispiace, non sono disponibili preventivi per questo ordine in questo momento."
"Thank you for your purchase!","Grazie per il tuo acquisto!"
"Edit Address","Modifica indirizzo"
"Add New Address","Aggiungi un nuovo indirizzo"
"Change Billing Address","Modifica indirizzo di fatturazione"
"Remove Item","Rimuovi articolo"
"Ship to Multiple Addresses","Invia ad indirizzi multipli"
"Billing Information - %1","Informazioni di fatturazione - %1"
"Review Order - %1","Rivedi ordine - %1"
"Total for this address","Totale per questo indirizzo"
"Shipping Methods","Metodi di spedizione"
"Data saving problem","Problema nel salvataggio dati"
"We cannot open the overview page.","Non è possibile aprire la pagina di riepilogo"
"Please agree to all Terms and Conditions before placing the order.","Prima di effettuare l'ordine accettare i termini e le condizioni."
"Order place error","Errore nell\'effettuare l\'ordine"
"Create Shipping Address","Creare indirizzo di spedizione"
"Edit Shipping Address","Modifica indirizzi di spedizione"
"Create Billing Address","Creare indirizzo di fatturazione"
"Edit Billing Address","Modifica indirizzo di fatturazione"
"Maximum qty allowed for Shipping to multiple addresses is %1","La qtà massima consentita per la spedizione ad indirizzi multipli è %1"
"Please select shipping methods for all addresses.","Selezionare metodo di spedizione per tutti gli indirizzi."
"Payment method is not defined","Il metodo di pagamento non è definito"
"The requested Payment Method is not available for multishipping.","Il metodo di pagamento richiesto non è disponibile per la spedizione multipla."
"Item not found or already ordered","Articolo non trovato o già ordinato."
"Please specify a payment method.","Specificare un metodo di pagamento."
"Please check shipping addresses information.","Controlla le informazioni di spedizione per l'indirizzo."
"Please specify shipping methods for all addresses.","Specificare il metodo di spedizione per ogni indirizzo."
"Please check billing address information.","Controllare informazioni indirizzo di fatturazione."
"Select Addresses","Seleziona indirizzi"
"Order Success","Ordine riuscito"
"Default Billing","Fatturazione predefinita"
"Default Shipping","Spedizione predefinita"
"Select Address","Seleziona indirizzo"
"Back to Billing Information","Ritorna alle informazioni di fatturazione"
"Please select a shipping address for applicable items.","Seleziona un indirizzo di spedizione applicabile agli articoli."
"Enter a New Address","Inserisci un nuovo indirizzo."
"Send To","Spedisci a"
"Shipping selection is not applicable.","Spedizione selezionata non applicabile."
"Continue to Shipping Information","Prosegui con le informazioni di spedizione"
"Update Qty &amp; Addresses","Aggiorna qtà &amp; Indirizzi"
"Back to Shopping Cart","Ritorna al carrello"
"Continue to Review Your Order","Prosegui verso il riepilogo ordine"
"Back to Shipping Information","Ritorna alle informazioni di spedizione"
"Other items in your order","Altri articoli nel tuo ordine"
"Edit Items","Modifica articoli"
"Checkout with Multiple Addresses","Checkout con indirizzi multipli"
"Address %1 of %2","Indirizzo %1 di %2"
"Shipping To","Spedisci a"
"Grand Total:","Totale:"
"Submitting order information...","Invia informazioni ordine..."
"Select Shipping Method","Seleziona metodo si spedizione"
"Continue to Billing Information","Prosegui verso le informazioni di fatturazione"
"Back to Select Addresses","Ritorna alla selezione indirizzi"
"Thanks for your order. We'll send you emails with order details and tracking information.","Grazie per il tuo acquisto. Ti invieremo una email con i dettagli dell\'ordine e con le informazioni di tracciamento."
"Your order number is ","Il numero dell\'ordine è"
"Review Order","Rivedi ordine"
"Options","Opzioni"
"Your order has been received.","Il tuo ordine è stato ricevuto."
"Multishipping Settings","Impostazioni spedizioni multiple"
"Allow Shipping to Multiple Addresses","Consenti spedizione ad indirizzi multipli"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qtà massima consentita per la spedizione ad indirizzi multipli"
