"Always","Sempre"
"After number of attempts to login","Dopo un numero di tentativi di accesso"
"Incorrect CAPTCHA","CAPTCHA errato"
"Incorrect CAPTCHA.","CAPTCHA errato."
"Please enter the letters from the image:","Inserire le lettere dell\'immagine:"
"Reload captcha","Ricarica captcha"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attenzione</strong>: il captcha è case sensitive."
"Please type the letters below","Inserire le lettere mostrate di seguito"
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Abilita il CAPTCHA in Admin"
"Font","Font"
"Forms","Forms"
"Displaying Mode","Modalità di visualizzazione"
"Number of Unsuccessful Attempts to Login","Numero di tentativi di accesso falliti"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se viene specificato 0, il CAPTCHA nel form di accesso sarà sempre disponibile."
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minuti)"
"Number of Symbols","Numero simboli"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Specificare 8 simboli al massimo. Gli intervalli sono consentiti (es. 3-5)"
"Symbols Used in CAPTCHA","Simboli utilizzati nel CAPTCHA"
"
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    ","
                        Utilizzare solo lettere (a-z or A-Z) o numeri (0-9) in questo campo. Non sono ammessi spazi o altri caratteri.<br />I caratteri simili (es. ""i"", ""l"", ""1"") diminuiscono le possibilità di un corretto riconoscimento da parte del\'utente..
                    "
"Case Sensitive","Case Sensitive"
"Enable CAPTCHA on Frontend","Abilita CAPTCHA nel Frontend"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Se viene scelto il CAPTCHA per i form ""Crea utente"" e ""Password dimenticata"" sarà sempre attivo."
