"ID","ID"
"Status","Status"
"Disabled","Disabilitato"
"Enabled","Abilitato"
"Store View","Vista negozio"
"Content","Contenuto"
"Text","Testo"
"Terms and Conditions","Termini e condizioni"
"Add New Condition","Aggiungi nuova condizione"
"Save Condition","Salva condizione"
"Delete Condition","Elimina condizione"
"Edit Terms and Conditions","Modifica termini e condizioni"
"New Terms and Conditions","Nuovo termini e condizioni"
"Terms and Conditions Information","Informazioni sui termini e le condizioni"
"Condition Name","Nome condizione"
"Show Content as","Mostra contenuto come"
"HTML","HTML"
"Checkbox Text","Testo casella di testo"
"Content Height (css)","Altezza contenuto (css)"
"Content Height","Altezza contenuto"
"Condition","Condizione"
"This condition no longer exists.","Questa condizione non esiste più."
"New Condition","Nuova condizione"
"Edit Condition","Modifica condizione"
"The condition has been saved.","La condizione è stata salvata."
"Something went wrong while saving this condition.","Qualcosa è andato storto durante il salvataggio della condizione."
"The condition has been deleted.","La condizione è stata eliminata."
"Something went wrong  while deleting this condition.","Qualcosa è andato storto durante l\'eliminazione di questa condizione."
"Sales","Vendite"
"Checkout Conditions","Condizioni checkout"
"Checkout Terms and Conditions","Termini e condizioni checkout"
"Enable Terms and Conditions","Abilita termini e condizioni"
"Please input a valid CSS-height. For example 100px or 77pt or 20em or .5ex or 50%.","Inserire un altezza CSS valida. Per esempio 100px o 77pt o 20em o .5ex or 50%."
