"Are you sure?","Sei sicuro?"
"Cancel","Cancella"
"Back","Indietro"
"Product","Prodotto"
"Price","Prezzo"
"Quantity","Quantità"
"ID","ID"
"SKU","SKU"
"Action","Azione"
"Edit","Modifica"
"Customer","Cliente"
"Guest","Ospite"
"Delete","Elimina"
"Name","Nome"
"Status","Status"
"Sort Order","Ordinamento"
"Title","Titolo"
"Are you sure you want to do this?","Sei sicuro di volerlo fare?"
"Type","Tipo"
"Description","Descrizione"
"Previous","Precedente"
"Next","Successivo"
"Active","Attivo"
"Visibility","Visibilità"
"* Required Fields","* Campi obbligatori"
"Summary","Sommario"
"Default Value","Valore predefinito"
"Websites","Siti web"
"A total of %1 record(s) have been deleted.","Un totale di %1 risultati sono stati eliminati."
"A total of %1 record(s) have been updated.","Un totale di %1 risultati sono stati aggiornati."
"Product Name","Nome prodotto"
"Inactive","Inattivo"
"View Details","Vedi dettagli"
"Created","Creato"
"Product Reviews","Recensioni prodotto"
"Pending","Pendente"
"Review","Recensione"
"Reviews","Recensioni"
"Save Review","Salva recensione"
"Add New Review","Aggiungi una nuova recensione"
"Review Details","Dettagli recensione"
"Product Rating","Valutazione prodotto"
"Visible In","Visibile in"
"Nickname","Nickname"
"Summary of Review","Sommario recensione"
"Save and Previous","Salva e precedente"
"Save and Next","Salva e successivo"
"Delete Review","Elimina recensione"
"Edit Review '%1'","Modifica recensione '%1'"
"New Review","Nuova recensione"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Amministratore"
"Posted By","Aggiunta da"
"Summary Rating","Sommario valutazione"
"Detailed Rating","Valutazione dettagliata"
"Pending Reviews RSS","RSS recensioni pendenti"
"Update Status","Aggiorna status"
"Pending Reviews of Customer `%1`","Recensioni pendenti del cliente `%1`"
"Pending Reviews","Recensioni pendenti"
"All Reviews of Customer `%1`","Tutte le recensioni del cliente `%1`"
"All Reviews of Product `%1`","Tutte le recensioni del prodotto `%1`"
"All Reviews","Tutte le recensioni"
"Product Store Name","Nome negozio prodotto"
"Manage Ratings","Gestisci valutazioni"
"Add New Rating","Aggiunti nuova valutazione"
"Save Rating","Salva valutazione"
"Delete Rating","Elimina valutazione"
"Edit Rating #%1","Modifica valutazione #%1"
"New Rating","Nuova valutazione"
"Rating Title","Titolo valutazione"
"Rating Visibility","Visibilità valutazione"
"Is Active","È visibile"
"Please specify a rating title for a store, or we'll just use the default value.","Specificare per un negozio il titolo della valutazione o verrà utilizzato il valore predefinito."
"Rating Information","Informazioni valutazione"
"Customer Reviews","Recensioni cliente"
"Edit Review","Modifica recensione"
"The review was removed by another user or does not exist.","La recensione è stata eliminata da un altro utente o non esiste."
"You saved the review.","Recensione salvata."
"Something went wrong while saving this review.","Qualcosa è andato storto durante il salvataggio di questa recensione."
"The review has been deleted.","La recensione è stata eliminata."
"Something went wrong  deleting this review.","Qualcosa è andato storto durante l\'eliminazione di questa recensione."
"Please select review(s).","Selezionare recensione/i."
"An error occurred while deleting record(s).","Si è verificato un errore durante l\'eliminazione dei risultati."
"An error occurred while updating the selected review(s).","Si è verificato un errore durante l\'aggiornamento delle recensioni selezionate."
"We can't get the product ID.","Impossibile ottenere l\'ID del prodotto."
"An error occurred while saving review.","Si è verificato un errore durante il salvataggio della recensione."
"You saved the rating.","Valutazione salvata."
"You deleted the rating.","Valutazione eliminata"
"Ratings","Valutazioni"
"My Product Reviews","Recensioni prodotti"
"Your review has been accepted for moderation.","La tua recensione è stata presa in carico per la moderazione."
"We cannot post the review.","Non è possibile pubblicare la recensione."
"Storage key was not set","Chiave archivio non impostata."
"Approved","Approvate"
"Not Approved","Non approvate"
"The review summary field can't be empty.","Il campo del sommario della recensione non può essere vuoto."
"The nickname field can't be empty.","Il campo del nickname non può essere vuoto"
"The review field can't be empty.","Il campo di testo della recensione non può essere vuoto"
"Rating isn't Available","Valutazione non disponibile"
"Assigned Options","Opzioni assegnate"
"Option Title:","Titolo opzione:"
"Rating","Valutazione"
"You have submitted no reviews.","Non hai inviato nessuna recensione."
"My Recent Reviews","Le mie ultime recensioni"
"View All Reviews","Visualizza tutte le recensioni"
"Average Customer Rating:","Valutazione media clienti:"
"Your Rating:","La tua valutazione:"
"Rating:","Valutazione:"
"Your Review (submitted on %1):","La tua recensione (pubblicata il %1):"
"Review (submitted on %1):","Recensione (Pubblicata il %1):"
"Back to My Reviews","Ritorna alle Mie recensioni"
"Be the first to review this product","Recensisci per primo questo prodotto"
"Write Your Own Review","Scrivi la tua recensione"
"You're reviewing:","Stai recensendo:"
"How do you rate this product?","Come valuti questo prodotto?"
"%1 %2","%1 %2"
"Summary of Your Review","Sommario della tua recensione"
"Submit Review","Invia recensione"
"Only registered users can write reviews. Please, <a href=""%1"">log in</a> or <a href=""%2"">register</a>","Solo gli utenti registrati possono scrivere recensioni. <a href=""%1"">Accedi</a> o <a href=""%2"">registrati</a>"
"Review(s)","Recensione/i"
"Add Your Review","Aggiungi la tua recensione"
"%1 Review(s)","%1 recensione/i"
"Review by","Recensito da"
"Posted on","Pubblicato il"
"Back to Main Product Info","Ritorna alle informazioni principali del prodotto"
"Average Customer Rating","Valutazioni media clienti"
"Product Rating:","Valutazione prodotto:"
"Product Review (submitted on %1):","Recensione prodotto (Inviata il %1):"
"Back to Product Reviews","Ritorna alle Recensioni prodotto"
"Allow Guests to Write Reviews","Consenti agli ospiti di scrivere recensioni"
