"Back","Indietro"
"Product","Prodotto"
"Quantity","Quantità"
"Configure","Configura"
"You added %1 to your shopping cart.","Hai aggiunto %1 al tuo carrello."
"Action","Azione"
"Are you sure that you want to remove this item?","Sei sicuro di voler rimuovere questo articolo?"
"Edit","Modifica"
"Remove item","Rimuovi articolo"
"Add to Cart","Aggiungi al carrello"
"Delete","Elimina"
"Enabled","Abilitato"
"We cannot add this item to your shopping cart.","Impossibile aggiungere questo articolo al tuo carrello"
"* Required Fields","* Campi obbligatori"
"Availability","Disponibilità"
"In stock","Disponibile"
"Out of stock","Non disponibile"
"Click for price","Clicca per il prezzo"
"What's this?","Cos'è questo?"
"1 item","1 articolo"
"%1 items","%1 articoli"
"Add to Wishlist","Aggiungi alla lista dei desideri"
"Remove This Item","Rimuovi questo articolo"
"Add to Compare","Aggiungi al confronto"
"The product does not exist.","Il prodotto non esiste."
"Display item quantities","Mostra quantità articlo"
"View Details","Mostra i dettagli"
"Options Details","Dettagli opzioni"
"Comment","Commento"
"Add Locale","Aggiungi locale"
"Add Date","Aggiungi data"
"Days in Wish List","Giorni nella lista dei desideri"
"Wishlist","Lista dei desideri"
"Wish List","Lista dei desideri"
"Message","Messaggio"
"Email Template","Template email"
"Remove Item","Rimuovi articolo"
"Sharing Information","Condivisione informazione"
"This product(s) is out of stock.","Questo prodotto non è disponibile."
"An item option with code %1 already exists.","Un\'opzione articolo con codice %1 esiste già."
"%1's Wish List","%1's Lista dei desideri"
"Product(s) %1 have required options. Each product can only be added individually.","I prodotti %1 hanno opzioni obbligatorie. Ogni prodotto più essere solo aggiunto individualmente."
"%1 product(s) have been added to shopping cart: %2.","%1 prodotti sono stati aggiunti al carrello: %2."
"Please input a valid email address.","Inserire un indirizzo email valido:"
"RSS Feed","RSS Feed"
"Wish List Sharing","Condivisione lista dei desideri"
"My Wish List","La mia lista dei desideri"
"%1 for ""%2"".","%1 per ""%2""."
"We couldn't add the following product(s) to the shopping cart: %1.","Non possiamo aggiungere i seguenti prodotti al carrello: %1."
"We can't update wish list.","Impossibile aggiornare la lista dei desideri."
"The requested wish list doesn't exist.","La lista dei desideri richiesta non esiste."
"Wish List could not be created.","La lista dei desideri non può essere creata."
"We can't specify a product.","Impossibile specificare un prodotto"
"%1 has been added to your wishlist. Click <a href=""%2"">here</a> to continue shopping.","%1 è stato aggiunto alla tua lista dei desideri. Clicca <a href=""%2"">qui</a> per continuare gli acquisti."
"An error occurred while adding item to wish list: %1","Si è verificato un errore durante l\'aggiunta dell\'articolo alla lista dei desideri: %1"
"An error occurred while adding item to wish list.","Si è verificato un errore durante l\'aggiunta dell\'articolo alla lista dei desideri."
"We can't load the wish list item.","Impossibile caricare la lista dei desideri."
"We can't configure the product.","Impossibile configurare il prodotto."
"%1 has been updated in your wish list.","%1 è stato aggiornato nella tua lista dei desideri."
"An error occurred while updating wish list.","Si è verificato un errore durante l\'aggiornamento della lista dei desideri."
"Can't delete item from wishlist","Impossibile eliminare l'articolo dalla lista dei desideri."
"Can't save description %1","Impossibile salvare la descrizione %1"
"Can't update wish list","Impossibile aggiornare la lista dei desideri."
"An error occurred while deleting the item from wish list: %1","Si è verificato un errore durante l\'eliminazione dell\'articolo dalla lista dei desideri: %1"
"An error occurred while deleting the item from wish list.","Si è verificato un errore durante l\'aggiornamento della lista dei desideri."
"Cannot add item to shopping cart","Impossibile aggiungere articoli al carrello"
"The requested cart item doesn't exist.","L\'articolo del carrello richiesto non esiste."
"%1 has been moved to wish list %2","%1 è stato spostato nella lista dei desideri %2"
