"All","Tutto"
"Are you sure?","Sei sicuro?"
"No","No"
"Action","Azione"
"Edit","Modifica"
"Results","Risultati"
"Uses","Utilizzi"
"Delete","Elimina"
"Store","Negozio"
"Yes","Sì"
"Home","Home"
"Search","Cerca"
"Search Query","Query di ricerca"
"Redirect URL","Reindirizza URL"
"Go to Home Page","Vai alla Home"
"Grid","Griglia"
"List","Lista"
"Catalog Advanced Search","Ricerca avanzata catalogo"
"Relevance","Rilevanza"
"Search results for: '%1'","Risultati di ricerca: '%1'"
"Minimum Search query length is %1","La lunghezza minima della query di ricerca deve essere %1"
"Your search query can't be longer than %1, so we had to shorten your query.","La tua query di ricerca non può essere più lunga di %1, di conseguenza la tua query è stata accorciata."
"Sorry, but the maximum word count is %1. We left out this part of your search: %2.","Il numero massimo di parole è %1. Questa parte della ricerca è stata omessa: %2."
"Please specify at least one search term.","Specificare almeno un termine di ricerca."
"%1 and greater","%1 e superiori"
"up to %1","fino a %1"
"Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process.","Modifica impostazioni attributo legate all\'indice di ricerca. Lanciare il processo <a href=""%1"">Ricostruisci indice di ricerca</a>."
"Catalog Search","Ricerca catalogo"
"Rebuild Catalog product fulltext search index","Ricostruire catalogo prodotti testo completo indice di ricerca"
"Please specify correct data.","Specificare dati correti."
"Search Settings","Impostazioni di ricerca"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 articolo</strong> è stato trovato con i seguenti criteri di ricerca"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 articoli</strong> sono stati trovati con i seguenti criteri di ricerca"
"No items were found using the following search criteria.","Nessun articolo trovato utilizzando i seguenti criteri di ricerca."
"Modify your search","Modifica la tua ricerca"
"name","Nome"
"Don't see what you're looking for?","Non hai trovato quello che stai cercando?"
"Search entire store here...","Cerca nell\'intero negozio..."
"Advanced Search","Ricerca avanzata"
"Your search returns no results.","La tua ricerca non ha prodotto risultati."
"There are no search terms available.","Non ci sono termini di ricerca disponibili"
"Popular Search Terms","Termini di ricerca popolari"
"Minimal Query Length","Lunghezza minima query"
"Maximum Query Length","Lunghezza massima quey"
"Maximum Query Words Count","Numero massimo parole nella query"
"Applies for ""Like"" search type only","Applica solo per il tipo di ricerca ""Simile"""
"Search Type","Tipo ricerca"
"Apply Layered Navigation if Search Results are Less Than","Applica Navigazione a livelli se i risultati di ricerca sono minori di"
"Enter ""0"" to enable layered navigation for any number of results.","Inserire ""0"" per abilitare la navigazione a livelli per qualsiasi numero di risultati."
"Synonym","Sinonimo"
"Suggested Terms","Termini suggeriti"
"yes","Sì"
"no","no"
